"","GO.ID","Term","Annotated","Significant","Expected","KS"
"1","GO:0050896","response to stimulus",614,614,614,"0.00025"
"2","GO:0007276","gamete generation",51,51,51,"0.00033"
"3","GO:0000003","reproduction",112,112,112,"0.00050"
"4","GO:0022414","reproductive process",112,112,112,"0.00050"
"5","GO:0032504","multicellular organism reproduction",72,72,72,"0.00052"
"6","GO:0048609","multicellular organismal reproductive pr...",70,70,70,"0.00059"
"7","GO:0019953","sexual reproduction",59,59,59,"0.00066"
"8","GO:0019538","protein metabolic process",466,466,466,"0.00073"
"9","GO:0006793","phosphorus metabolic process",265,265,265,"0.00078"
"10","GO:0006796","phosphate-containing compound metabolic ...",265,265,265,"0.00078"
"11","GO:0006468","protein phosphorylation",170,170,170,"0.00081"
"12","GO:0033674","positive regulation of kinase activity",52,52,52,"0.00109"
"13","GO:0048589","developmental growth",79,79,79,"0.00136"
"14","GO:0048232","male gamete generation",41,41,41,"0.00153"
"15","GO:0006974","cellular response to DNA damage stimulus",54,54,54,"0.00159"
"16","GO:0007179","transforming growth factor beta receptor...",20,20,20,"0.00179"
"17","GO:1901564","organonitrogen compound metabolic proces...",520,520,520,"0.00193"
"18","GO:0045944","positive regulation of transcription by ...",111,111,111,"0.00200"
"19","GO:0071559","response to transforming growth factor b...",27,27,27,"0.00202"
"20","GO:0071560","cellular response to transforming growth...",26,26,26,"0.00213"
"21","GO:0016310","phosphorylation",195,195,195,"0.00254"
"22","GO:0042327","positive regulation of phosphorylation",79,79,79,"0.00278"
"23","GO:0007283","spermatogenesis",40,40,40,"0.00279"
"24","GO:0042770","signal transduction in response to DNA d...",13,13,13,"0.00304"
"25","GO:0045860","positive regulation of protein kinase ac...",41,41,41,"0.00340"
"26","GO:0044267","cellular protein metabolic process",443,443,443,"0.00353"
"27","GO:0007059","chromosome segregation",20,20,20,"0.00379"
"28","GO:0051716","cellular response to stimulus",540,540,540,"0.00395"
"29","GO:0002040","sprouting angiogenesis",17,17,17,"0.00443"
"30","GO:0045893","positive regulation of transcription, DN...",147,147,147,"0.00468"
"31","GO:1902680","positive regulation of RNA biosynthetic ...",147,147,147,"0.00468"
"32","GO:1903508","positive regulation of nucleic acid-temp...",147,147,147,"0.00468"
"33","GO:0030162","regulation of proteolysis",57,57,57,"0.00487"
"34","GO:0031325","positive regulation of cellular metaboli...",283,283,283,"0.00488"
"35","GO:0090288","negative regulation of cellular response...",16,16,16,"0.00492"
"36","GO:0070848","response to growth factor",80,80,80,"0.00494"
"37","GO:0006520","cellular amino acid metabolic process",15,15,15,"0.00518"
"38","GO:0098813","nuclear chromosome segregation",14,14,14,"0.00539"
"39","GO:0042221","response to chemical",310,310,310,"0.00570"
"40","GO:0097305","response to alcohol",14,14,14,"0.00573"
"41","GO:0051254","positive regulation of RNA metabolic pro...",160,160,160,"0.00635"
"42","GO:0001934","positive regulation of protein phosphory...",69,69,69,"0.00645"
"43","GO:0051347","positive regulation of transferase activ...",59,59,59,"0.00653"
"44","GO:1903362","regulation of cellular protein catabolic...",33,33,33,"0.00671"
"45","GO:0071902","positive regulation of protein serine/th...",29,29,29,"0.00680"
"46","GO:0032268","regulation of cellular protein metabolic...",220,220,220,"0.00720"
"47","GO:0002042","cell migration involved in sprouting ang...",12,12,12,"0.00733"
"48","GO:0010468","regulation of gene expression",371,371,371,"0.00747"
"49","GO:0007049","cell cycle",138,138,138,"0.00749"
"50","GO:0003006","developmental process involved in reprod...",82,82,82,"0.00756"
