"","SYMBOL"
"1","PAPPA"
"2","LAMTOR4"
"3","LUZP1"
"4","CCNE1"
"5","ZBTB34"
"6","AQP11"
"7","CFAP45"
"8","C1orf21"
"9","PTPN4"
"10","USP25"
"11","HIPK2"
"12","BTRC"
"13","PTH"
"14","FGF2"
"15","RBM6"
"16","UNC80"
"17","OMG"
"18","AKT3"
"19","N4BP1"
"20","SALL1"
"21","CDCA4"
"22","TLK1"
"23","WFDC5"
"24","WEE1"
"25","KARS1"
"26","PLAG1"
"27","CCNT2"
"28","HELZ"
"29","PHF19"
"30","TNRC6B"
"31","WNT3A"
"32","FBXL20"
"33","FBXW7"
"34","STK33"
"35","KIF5C"
"36","ATXN7L2"
"37","ZNF622"
"38","DESI1"
"39","RAB9B"
"40","EMC4"
"41","TMEM100"
"42","GPR63"
"43","EDA"
"44","SSU72"
"45","UBE4B"
"46","SMURF1"
"47","PTPN3"
"48","KDSR"
"49","CDC37L1"
"50","ZBTB44"
"51","CPEB2"
"52","ASH1L"
"53","MTMR3"
"54","IFT74"
"55","IPO7"
"56","CHEK1"
"57","TMEM74B"
"58","CBX2"
"59","SLC20A2"
"60","NUP50"
"61","MGAT4A"
"62","CNOT6L"
"63","TSPYL2"
"64","PRDM4"
"65","SMAD7"
"66","WIPI2"
"67","UBN2"
"68","SLC9A6"
"69","NEK10"
"70","NEXMIF"
"71","SREK1"
"72","SLC13A3"
"73","SLIT2"
"74","EOLA1"
"75","RECK"
"76","MOB4"
"77","VEGFA"
"78","PLSCR4"
"79","ATXN1L"
"80","SEL1L3"
"81","PAFAH1B1"
"82","MED26"
"83","CD2AP"
"84","ZMYM2"
"85","C2orf42"
"86","SRPRA"
"87","PIP4P2"
"88","TENM2"
"89","PIGB"
"90","ARL2"
"91","PPP1R11"
"92","CDK17"
"93","ZC2HC1A"
"94","ZFHX4"
"95","YRDC"
"96","NAPG"
"97","KIF21A"
"98","CDC42SE2"
"99","INSR"
"100","RIC1"
"101","SIRT4"
"102","DCLK1"
"103","SYNJ1"
"104","PCMT1"
"105","ATXN2"
"106","KLHDC8B"
"107","SPRED1"
"108","TPPP3"
"109","POU2F1"
"110","TARBP2"
"111","SOCS6"
"112","NOL4L"
"113","SEMA6D"
"114","PISD"
"115","LRP6"
"116","YTHDC1"
"117","MOB3B"
"118","ANO3"
"119","CDK5R1"
"120","ABL2"
"121","CASK"
"122","DYRK1B"
"123","APLN"
"124","PHKA1"
"125","RETREG2"
"126","IL20"
"127","SNRPB2"
"128","RNF144B"
"129","BTAF1"
"130","KIF23"
"131","FZD10"
"132","IKBKB"
"133","SEPTIN2"
"134","SRPX"
"135","PPM1D"
"136","MYB"
"137","DDX3X"
"138","SLC35G1"
"139","CCDC83"
"140","ZMAT3"
"141","CPEB3"
"142","KCNN4"
"143","STXBP3"
"144","PLPP1"
"145","PSMD7"
"146","PHACTR2"
"147","GALNT13"
"148","RFX3"
"149","POLR3F"
"150","LATS1"
"151","SNCG"
"152","MAMSTR"
"153","STRADB"
"154","CREBRF"
"155","TTLL9"
"156","KRTAP4-4"
"157","SESN1"
"158","NOS1"
"159","PHIP"
"160","SGCA"
"161","SOX6"
"162","COP1"
"163","RNF138"
"164","KIF1B"
"165","ETFRF1"
"166","RGS22"
"167","E2F7"
"168","SLC11A2"
"169","UBQLNL"
"170","MKNK1"
"171","TMEM178B"
"172","SCN8A"
"173","PAFAH1B2"
"174","IHH"
"175","ALKBH3"
"176","MEOX2"
"177","UMOD"
"178","PEX13"
"179","GAREM1"
"180","FOSL2"
"181","ATG14"
"182","TMC7"
"183","AHCYL2"
"184","SHOC2"
"185","FAM110C"
"186","AVL9"
"187","PLEKHA1"
"188","PPM1A"
"189","FBXO21"
"190","ACVR2B"
"191","FCRL2"
"192","TTC1"
"193","BPIFA1"
"194","AP2A1"
"195","NECTIN1"
"196","YWHAH"
"197","ZDHHC16"
"198","CYP26B1"
"199","SNX16"
"200","NIM1K"
"201","DYNC1I1"
"202","CCND2"
"203","SERBP1"
"204","EPB41L4B"
"205","FERMT2"
"206","SKI"
"207","TLL1"
"208","ZBTB39"
"209","SON"
"210","PCDHAC2"
"211","ENAH"
"212","LYZL4"
