"","SYMBOL"
"1","SCN8A"
"2","CPLX2"
"3","LST1"
"4","ANKRD52"
"5","PFN1"
"6","CCAR2"
"7","HIRIP3"
"8","INCA1"
"9","SMR3B"
"10","XIRP1"
"11","IGFBP5"
"12","TNFRSF6B"
"13","SOX12"
"14","SZRD1"
"15","LCE2D"
"16","EFHD2"
"17","NFIA"
"18","DNTTIP1"
"19","OTOA"
"20","PATZ1"
"21","BCL7B"
"22","CADM4"
"23","ARF3"
"24","RIMS3"
"25","RHOG"
"26","ZFP3"
"27","TUSC2"
"28","PITPNM1"
"29","GNG3"
"30","CDC42EP5"
"31","NLGN3"
"32","AUTS2"
"33","ZNF396"
"34","ZNF518B"
"35","CCER2"
"36","TMEM208"
"37","KRTAP10-10"
"38","TIMM17B"
"39","ZFHX2"
"40","TDRD10"
"41","ALDH16A1"
"42","ZBTB7A"
"43","STX1B"
"44","TCN2"
"45","AKAP4"
"46","AP2S1"
"47","ZPBP2"
"48","RHOH"
"49","LRCH1"
"50","LYRM4"
"51","HNRNPA1"
"52","CLDN7"
"53","ZNF385A"
"54","FXYD7"
"55","BCL2L1"
"56","GINS3"
"57","MYOZ3"
"58","TMEM255A"
"59","SYNPO2"
"60","PRELID1"
"61","TM7SF2"
"62","CFL1"
"63","ZMYND10"
"64","PCBP4"
"65","IL17REL"
"66","ACLY"
"67","HAPLN4"
"68","SPTBN4"
"69","FURIN"
"70","FRZB"
"71","NLRP4"
"72","UBALD1"
"73","ATG13"
"74","GNG4"
"75","ACSL4"
"76","CDA"
"77","PLEKHA6"
"78","MXRA8"
"79","PFAS"
"80","CNIH2"
"81","CARHSP1"
"82","SUMO1"
"83","UQCRB"
"84","LIMD2"
"85","SFTPA2"
"86","ATP4A"
"87","HYAL2"
"88","CIC"
"89","FAM151B"
"90","RCCD1"
"91","PFKFB1"
"92","SF3B4"
"93","EMC3"
"94","SETD1B"
"95","SH2D3C"
"96","TMEM150A"
"97","RASL10B"
"98","PPARGC1A"
"99","FCER2"
"100","MMS19"
"101","CELF5"
"102","SOX4"
"103","NPY4R"
"104","MRTFB"
"105","C3orf36"
"106","MCU"
"107","FAM222B"
"108","UBE2V1"
"109","LMNA"
"110","ENG"
"111","HTR3B"
"112","CLCNKA"
"113","MEX3A"
"114","SPRED3"
"115","VAMP5"
"116","CLCNKB"
"117","VPS51"
"118","STXBP1"
"119","SLC44A4"
"120","TUBGCP6"
"121","ROCK2"
"122","TOB2"
"123","C1orf21"
"124","PTPRN2"
"125","NARS2"
"126","CKB"
"127","SYNGAP1"
"128","EPHA1"
"129","ATP5MF"
"130","RNPS1"
"131","POFUT1"
"132","VPS52"
"133","SIGLEC14"
"134","IL2RG"
"135","CNBD2"
"136","MAP4K2"
"137","ZNF362"
"138","CREB3L1"
"139","ARAF"
"140","PHOSPHO1"
"141","SERPINB1"
"142","TFEB"
"143","FAH"
"144","ZNF468"
"145","TIMELESS"
"146","SYP"
"147","AMIGO1"
"148","GCM1"
"149","PDX1"
"150","COPE"
"151","PPM1F"
"152","VSX2"
"153","TICAM1"
"154","WBP1L"
"155","AHNAK2"
"156","SORBS2"
"157","IDH3G"
"158","ERN2"
"159","IRF6"
"160","ATP1B2"
"161","PCSK4"
"162","DDA1"
"163","VAC14"
"164","MAP3K10"
"165","LALBA"
"166","TEX19"
"167","SLC48A1"
"168","PTPRH"
"169","GCHFR"
"170","FBXL20"
"171","PRKX"
"172","KLF16"
"173","DCAF12"
"174","DTNA"
"175","HAUS5"
"176","TRAF3"
"177","FAM234A"
"178","PEAK3"
"179","SLC2A14"
"180","SIX3"
"181","AGAP2-AS1"
"182","IGF2"
"183","MRPL43"
"184","COTL1"
"185","SLC12A4"
"186","PEDS1-UBE2V1"
"187","PANX1"
"188","GSKIP"
"189","BLK"
"190","KLHL3"
"191","SELENOV"
"192","GPX4"
"193","ITGB4"
"194","CYP2G1P"
"195","FKBP1B"
"196","LCP1"
"197","SESN2"
"198","SEC24C"
"199","CPEB3"
"200","ULK3"
"201","SAP30L"
"202","TMEM119"
"203","TRPM5"
"204","FBXO46"
"205","ATP6V1B1"
"206","IQGAP3"
"207","STK32B"
"208","HNRNPUL2"
"209","ARHGEF18"
"210","ELP3"
"211","ATAT1"
"212","MARK2"
"213","SETD1A"
"214","PAAF1"
"215","NPTXR"
"216","PIK3CA"
"217","DHX37"
"218","RAB3IL1"
"219","FNDC8"
"220","TRAPPC2L"
"221","RNF26"
"222","ARAP1"
"223","FBLIM1"
"224","RPH3AL"
"225","HES4"
"226","TRMT2A"
"227","PTPN23"
"228","STAC2"
"229","CTSF"
"230","PHF1"
"231","DESI1"
"232","CDK19"
"233","DEFB132"
"234","DLG4"
"235","BTBD11"
"236","SH3BGRL2"
"237","PDZD4"
"238","FOXN4"
"239","CNTN5"
"240","CRELD1"
"241","SH2D5"
"242","GYPC"
"243","IL27RA"
"244","P3H1"
"245","HOXC10"
"246","P3H3"
"247","RIMBP3C"
"248","KCNIP2"
"249","NFKBID"
"250","NT5M"
"251","IMPDH1"
"252","DMAC2"
"253","TRMT1L"
"254","SPSB1"
"255","TCTA"
"256","ADAM8"
"257","CUX1"
"258","HIF3A"
"259","OCRL"
"260","ENDOV"
"261","CBX2"
"262","MFSD14B"
"263","SPDEF"
"264","FAF2"
"265","PNPLA5"
"266","CLUH"
"267","ASIC3"
"268","GALK2"
"269","BMP3"
"270","KCNAB2"
"271","MICAL1"
"272","L1CAM"
"273","CD34"
"274","CC2D1A"
"275","RTEL1"
"276","AACS"
"277","KRTAP1-3"
"278","USP36"
"279","GPSM3"
"280","ZC3H7B"
"281","ZDHHC8"
"282","ITPKB"
"283","KLHL40"
"284","MGP"
"285","KAT8"
"286","TNNT2"
"287","NAGPA"
"288","WNT9B"
"289","PRAF2"
"290","GLIS2"
"291","FAM89B"
"292","ETV7"
"293","HSPA12B"
"294","RELB"
"295","SOX7"
"296","SLC2A3"
"297","UBE3B"
"298","PRKCG"
"299","TLX3"
"300","KDM4B"
"301","PRRG3"
"302","CSK"
"303","TBC1D16"
"304","ESS2"
"305","INTS14"
"306","LPAR5"
"307","FDXR"
"308","TMEM204"
"309","GSTM3"
"310","CSAD"
"311","TNXB"
"312","IQSEC3"
"313","TBKBP1"
"314","PIERCE1"
"315","TBXAS1"
"316","ACTR1A"
"317","TNS2"
"318","PXN"
"319","ST3GAL3"
"320","RALGPS1"
"321","ARL6IP4"
"322","FAM153B"
"324","DUOX1"
"325","HPCA"
"326","SCNM1"
"327","ZDHHC1"
"328","COPS6"
"329","EVI5L"
"330","MAP1LC3A"
"331","NF2"
"332","NRSN2"
"333","AVPR2"
"334","VSIG10"
"335","UBAP2"
"336","MAP4K1"
"337","ZSWIM4"
"338","PRKAB1"
"339","CASP9"
"340","PPP1R13L"
"341","DGAT1"
"342","NKX3-1"
"343","F2R"
"344","MYO1G"
"345","RAC2"
"346","FAM222A"
"347","LINC01124"
"348","GOLGA1"
"349","AMIGO3"
"350","PSMC4"
"351","MBD2"
"352","ENAH"
"353","CABLES2"
"354","PDCD1"
"355","DLX4"
"356","MGAT3"
"357","TSSK1B"
"358","PAX4"
"359","NLRP7"
